epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78722,1.70016,2.94844,1.63192,0.00667,1,0.46144,0.22863,1.415,2.88492,1.86803,0.000444444,0.000444444,0.000444444
2,5.67396,1.49562,3.02725,1.64239,0.00667,1,0.46144,0.22863,1.415,2.88492,1.86803,0.00108911,0.00108911,0.00108911
3,8.50556,1.49489,2.86166,1.67376,0.00667,1,0.46144,0.22863,1.415,2.88492,1.86803,0.00170738,0.00170738,0.00170738
4,11.3905,1.52838,2.85355,1.55699,0.00667,1,0.46144,0.22863,1.415,2.88492,1.86803,0.0018812,0.0018812,0.0018812
5,14.3479,1.76297,3.16179,1.76146,0.19344,0.25,0.20517,0.04151,3.32283,4.23011,9.07287,0.0018416,0.0018416,0.0018416
6,17.3124,2.18065,4.38795,2.32885,0.19344,0.25,0.20517,0.04151,3.32283,4.23011,9.07287,0.001802,0.001802,0.001802
7,20.3775,2.29324,3.95624,2.12358,0.19344,0.25,0.20517,0.04151,3.32283,4.23011,9.07287,0.0017624,0.0017624,0.0017624
8,23.3462,2.64739,4.99243,2.63265,0.19344,0.25,0.20517,0.04151,3.32283,4.23011,9.07287,0.0017228,0.0017228,0.0017228
9,26.3212,2.8173,5.62381,2.60821,0.19344,0.25,0.20517,0.04151,3.32283,4.23011,9.07287,0.0016832,0.0016832,0.0016832
10,29.4319,2.30412,4.11072,2.333,0.00667,1,0.01785,0.00407,3.17455,3.69061,3.27645,0.0016436,0.0016436,0.0016436
11,32.5224,2.09044,3.25024,2.04058,0.00667,1,0.01785,0.00407,3.17455,3.69061,3.27645,0.001604,0.001604,0.001604
12,35.5735,2.05698,3.30515,2.20111,0.00667,1,0.01785,0.00407,3.17455,3.69061,3.27645,0.0015644,0.0015644,0.0015644
13,38.6821,1.99318,3.03155,2.09374,0.00667,1,0.01785,0.00407,3.17455,3.69061,3.27645,0.0015248,0.0015248,0.0015248
14,41.7191,2.0617,3.20708,2.16017,0.00667,1,0.01785,0.00407,3.17455,3.69061,3.27645,0.0014852,0.0014852,0.0014852
15,44.896,1.74128,2.9135,1.90756,0.00667,1,0.14337,0.05582,1.90677,2.88433,2.37024,0.0014456,0.0014456,0.0014456
